genus,species,alpha,derived_alpha,reference,Ne,genome_1C,ref_genome_size,genome_1C_mb,log_genome_1C_mb,theta,Ne_calc
Arabidopsis,thaliana,-0.08,0,https://doi.org/10.1093/molbev/msq062,125000,0.206,https://doi.org/10.1093/aob/mch037,201.262,2.303761784,0.005,125000
Capsella,grandiflora,0.4,0.4,https://doi.org/10.1093/molbev/msq062,300000,0.14,,136.78,2.136022599,0.012,300000
Arabidopsis,lyrata,-0.1820,0,https://doi.org/10.1093/molbev/msq079,138483,0.25,kew,244.25,2.387834572,,0
Boechera,stricta,-0.9640,0,https://doi.org/10.1093/molbev/msq079,26630,0.24,kew,234.48,2.370105805,,0
Oriza,rufipogon,-0.5529,0,https://doi.org/10.1093/molbev/msq079,138528,0.46,kew,449.42,2.652652395,,0
Populus,tremula,0.0971,0.097067067,https://doi.org/10.1093/molbev/msq079,73424,0.45,kew,439.65,2.643107077,,0
Schiedea,globosa,0.1285,0.12851,https://doi.org/10.1093/molbev/msq079,33181,0.8,kew,781.6,2.892984551,,0
Sorghum,bicolor,-0.4812,0,https://doi.org/10.1093/molbev/msq079,149718,0.75,kew,732.75,2.864955827,,0
Zea,mays,-0.2219,0,https://doi.org/10.1093/molbev/msq079,593297,2.73,kew,2667.21,3.426057211,,0
Helianthus,annuus(L. sativa) ,0.605,0.605,https://doi.org/10.1093/molbev/msq270,673968,2.43,kew,2374.11,3.375500837,,0
Helianthus,argophyllus(L. sativa) ,0.474,0.474,https://doi.org/10.1093/molbev/msq270,361402,4.43,kew,4328.11,3.63629829,,0
Helianthus,exilis(L. sativa) ,0.227,0.227,https://doi.org/10.1093/molbev/msq270,545530,4.8,kew,4689.6,3.671135801,,0
Helianthus,paradoxus(Lactuca sativa) ,-1.004,0,https://doi.org/10.1093/molbev/msq270,119305,5.35,kew,5226.95,3.718248346,,0
Helianthus,petiolaris(L. sativa) ,0.558,0.558,https://doi.org/10.1093/molbev/msq270,843407,3.4,kew,3321.8,3.521373481,,0
Helianthus,tuberosus(L. sativa) ,0.21,0.21,https://doi.org/10.1093/molbev/msq270,676810,12.55,kew,12261.35,4.08853829,,0
Lactuca,saligna(H. tuberosus) ,-0.646,0,https://doi.org/10.1093/molbev/msq270,78111,2.38,kew,2325.26,3.366471521,,0
Lactuca,sativa(H. tuberosus) ,-0.126,0,https://doi.org/10.1093/molbev/msq270,31563,2.65,kew,2589.05,3.413140438,,0
Lactuca,serriola(H. tuberosus) ,0.64,0.64,https://doi.org/10.1093/molbev/msq270,103074,1.85,kew,1807.45,3.257066292,,0
Lactuca,virosa(H. tuberosus) ,0.486,0.486,https://doi.org/10.1093/molbev/msq270,303647,3.76,kew,3673.52,3.565082409,,0
Populus,trichocarpa,0.202648,0.202648,https://doi.org/10.1534/genetics.115.183152,147500,0.49,kew,478.73,2.680090644,0.0059,147500
Medicago,truncatula,-0.118,0,https://doi.org/10.1111/mec.12329,240000,0.48,kew,468.96,2.671135801,0.0096,240000
Pinus,albicaulis,0.028,0.028,https://doi.org/10.1111/mec.12514,87500,27.2,kew,26574.4,4.424463468,0.0035,87500
Pinus,aristata,0.233,0.233,https://doi.org/10.1111/mec.12514,37500,29.12,kew,28450.24,4.454085934,0.0015,37500
Pinus,ayacahuite,0.067,0.067,https://doi.org/10.1111/mec.12514,80000,36,kew,35172,4.546197064,0.0032,80000
Pinus,balfouriana,0.189,0.189,https://doi.org/10.1111/mec.12514,57500,29.94,kew,29251.38,4.46614636,0.0023,57500
Pinus,flexilis,0.006,0.006,https://doi.org/10.1111/mec.12514,102500,31.2,kew,30482.4,4.484049158,0.0041,102500
Pinus,lambertiana,0.101,0.101,https://doi.org/10.1111/mec.12514,75000,31.8,https://doi.org/10.1016/0168-9452(96)04356-7,31068.6,4.492321684,0.003,75000
Pinus,longaeva,0.113,0.113,https://doi.org/10.1111/mec.12514,77500,26.25,kew,25646.25,4.409023871,0.0031,77500
Pinus,monophylla,0.044,0.044,https://doi.org/10.1111/mec.12514,105000,27.4,https://doi.org/10.1016/0168-9452(96)04356-7,26769.8,4.427645127,0.0042,105000
Pinus,monticola,0.047,0.047,https://doi.org/10.1111/mec.12514,95000,29.3,kew,28626.1,4.456762184,0.0038,95000
Pinus,strobiformis,0.031,0.031,https://doi.org/10.1111/mec.12514,107500,35.36,kew,34546.72,4.53840682,0.0043,107500
Pinus,strobus,0.118,0.118,https://doi.org/10.1111/mec.12514,95000,25.65,kew,25060.05,4.398981933,0.0038,95000
Solanum,chilense,-0.143,0,https://doi.org/10.1093/molbev/msv166,165000,0.78,,762.06,2.881989166,0.0066,165000
